totalBurnedArea,fireExt,NumFireFighters,NumFires,extinguishPumpingVelocity,refillPumpingVelocity,maxWaterCapacity,numRoamingTurns,viewingDist,extinguishDist,numRivers,riverWidth,numLakes,lakeRadius,numVillages,totalNumHouses
28,1,4,2,1,3,100,1,6,2,1,5,1,12,1,34
4,1,4,2,1,3,100,1,6,2,1,5,1,12,1,34
252,0,4,2,1,3,100,1,6,2,1,5,1,12,1,34
4,1,4,2,1,3,100,1,6,2,1,5,1,12,1,34
7,1,4,2,1,3,100,1,6,2,1,5,1,12,1,34
13,1,4,2,1,3,100,1,6,2,1,5,1,12,1,34
615,0,4,2,1,3,100,1,6,2,1,5,1,12,1,34
0,1,2.0,1.0,1,3,100,1,6,2,1,5,1,12,1,34
62,1,3.0,2.0,1,3,100,1,6,2,1,5,1,12,1,34
583,0,4.0,3.0,1,3,100,1,6,2,1,5,1,12,1,34
1859,0,5.0,4.0,1,3,100,1,6,2,1,5,1,12,1,34
19289,0,6.0,5.0,1,3,100,1,6,2,1,5,1,12,1,34
19573,0,7.0,6.0,1,3,100,1,6,2,1,5,1,12,1,34
18797,0,8.0,7.0,1,3,100,1,6,2,1,5,1,12,1,34
18123,0,9.0,8.0,1,3,100,1,6,2,1,5,1,12,1,34
0,1,2.0,1.0,1,3,100,1,6,2,1,5,1,12,1,34
14,0,3.0,2.0,1,3,100,1,6,2,1,5,1,12,1,34
0,1,2.0,1.0,1,3,100,1,6,2,1,5,1,12,1,34
1,1,2.0,1.0,1,3,100,1,6,2,1,5,1,12,1,34
9,1,3.0,2.0,1,3,100,1,6,2,1,5,1,12,1,34
30,0,4.0,3.0,1,3,100,1,6,2,1,5,1,12,1,34
153,0,5.0,4.0,1,3,100,1,6,2,1,5,1,12,1,34
724,0,6.0,5.0,1,3,100,1,6,2,1,5,1,12,1,34
5471,0,7.0,6.0,1,3,100,1,6,2,1,5,1,12,1,34
19073,0,8.0,7.0,1,3,100,1,6,2,1,5,1,12,1,34
5510,0,9.0,8.0,1,3,100,1,6,2,1,5,1,12,1,34
7612,0,10.0,9.0,1,3,100,1,6,2,1,5,1,12,1,34
3,1,2.0,1.0,1,3,100,6,6,2,1,5,1,12,1,34
7,1,3.0,2.0,1,3,100,6,6,2,1,5,1,12,1,34
179,0,4.0,3.0,1,3,100,6,6,2,1,5,1,12,1,34
5268,1,5.0,4.0,1,3,100,6,6,2,1,5,1,12,1,34
2204,1,6.0,5.0,1,3,100,6,6,2,1,5,1,12,1,34
